Matrix Size,Poor Base Case,Proper Base Case,'Supposed' Cache Optimized,Poor OpenMP,Thrashing OpenMP,Correct OpenMP
2048,0.275115,0.0665998,0.0649968,0.0969378,0.304404,0.635631,0.135884
1024,0.139968,0.0413571,0.00886343,0.037592,0.0450379,0.147536,0.0561361
512,0.0390823,0.0198846,0.0201905,0.000869361,0.0185704,0.0425464,0.0182762
256,0.000779101,0.000653491,0.018976,0.000246206,0.000259651,0.0589744,0.000286503
128,0.000165322,0.000176733,0.000149051,9.25988e-05,8.95578e-05,0.000719418,5.39642e-05
64,5.48434e-05,3.84684e-05,4.20154e-05,3.1215e-05,4.93298e-05,0.0179965,6.40934e-05
32,1.74948e-05,8.5046e-06,8.7692e-06,1.18518e-05,3.38594e-05,0.00018229,8.9478e-06
